id,mission,magazine,frame,in_sample,icon,icon_label,lap_var,content_lap,mean_lum,clip5_frac,clip250_frac,dark_frac,bright_frac,p50,p95,p99,featureless_frac,tilt_deg,has_horizon,black_frame,underexposed,overexposed,blurry,aimless,dud,crooked,quality
AS11-40-5844,AS11,40,5844,1,0,,85.98058262528205,122.54154059272999,133.72310965401786,7.473692602040816e-05,0.001380141900510204,0.20179468271683673,0.003990951849489796,176.0,207.0,221.0,0.33163265306122447,0.0,1,0,0,0,0,0,0,0,-1.7856056302129921
AS11-40-5845,AS11,40,5845,1,0,,4.6809032190744695,0.0,10.187853754783163,1.4947385204081632e-05,0.0,0.9989586654974489,0.0,10.0,11.0,11.0,0.9897959183673469,,0,1,0,0,0,0,1,0,-9.950296778595387
AS11-40-5846,AS11,40,5846,1,0,,111.47681383468965,193.05714947530572,123.89193538743622,3.487723214285714e-05,0.0005580357142857143,0.2766860650510204,0.005620216836734694,157.0,220.0,237.0,0.44387755102040816,-12.994616791916505,1,0,0,0,0,0,0,1,-1.29739447463756
AS11-40-5847,AS11,40,5847,1,0,,399.86667476153184,699.292446033991,88.48327885841837,4.982461734693877e-06,0.00045838647959183676,0.46474410076530615,0.0007174744897959184,50.0,203.0,217.0,0.42857142857142855,13.366930696316848,1,0,0,0,0,0,0,1,0.08504371466525176
AS11-40-5848,AS11,40,5848,1,0,,434.42783743845627,706.1971763600244,110.53841477997449,0.0,9.964923469387755e-05,0.0009317203443877551,0.0022969148596938774,105.0,224.0,233.0,0.3877551020408163,4.351077951573885,1,0,0,0,0,0,0,0,0.09559710038047355
AS11-40-5849,AS11,40,5849,1,0,,264.11439645233276,695.4972504726546,50.50555544483419,8.470184948979592e-05,0.00014947385204081633,0.7406927614795918,0.0020079320790816328,13.0,201.0,231.0,0.6224489795918368,,0,0,0,0,0,0,0,0,0.07919856359306073
AS11-40-5850,AS11,40,5850,1,1,Armstrong: first photo taken on the lunar surface,472.41636438739147,578.278623217009,95.40513392857143,0.0,0.0005231584821428571,0.0,0.0016741071428571428,96.0,173.0,185.0,0.1836734693877551,-13.781597235653626,1,0,0,0,0,0,0,1,-0.11904692693572821
AS11-40-5851,AS11,40,5851,1,0,,927.4795219129645,1442.4326280750415,106.63058035714286,0.0,6.975446428571428e-05,0.38683334661989793,0.0005779655612244898,124.0,213.0,226.0,0.35714285714285715,0.5787255656077621,1,0,0,0,0,0,0,0,0.8627008539687142
AS11-40-5852,AS11,40,5852,1,0,,454.398019919317,706.6858920440112,113.73503268494898,0.0,0.00011957908163265306,2.9894770408163265e-05,0.0008669483418367347,134.0,217.0,229.0,0.35714285714285715,22.229621091237785,1,0,0,0,0,0,0,1,0.09634015256097882
AS11-40-5853,AS11,40,5853,1,0,,250.63820454668178,477.8980781822102,116.46461953922194,0.0,0.00013950892857142856,1.992984693877551e-05,0.0014548788265306123,143.0,226.0,233.0,0.47959183673469385,-0.4373638675207325,1,0,0,0,0,0,0,0,-0.32383044298521513
