kind,frame,x_px,y_px,area_or_n
feather_raw,1183,175.62,128.34,59
feather_raw,1184,174.46,128.87,77
feather_raw,1185,174.94,129.45,88
feather_raw,1186,174.62,131.82,40
feather_raw,1189,170.38,150.78,90
feather_raw,1190,170.82,151.83,130
feather_raw,1191,170.53,152.31,131
feather_raw,1192,171.45,160.62,184
feather_raw,1193,170.62,164.85,166
feather_raw,1194,171.6,165.11,180
feather_raw,1195,170.37,177.97,87
feather_raw,1196,171.28,179.02,145
feather_raw,1197,171.42,179.34,142
feather_raw,1198,171.62,192.86,76
feather_raw,1199,171.51,193.75,112
feather_raw,1200,171.22,194.84,110
feather_raw,1201,170.69,198.73,38
hammer_raw,1186,132.28,146.71,47
hammer_raw,1187,132.05,146.54,34
hammer_raw,1188,131.88,146.29,25
hammer_raw,1189,130.11,148.34,72
hammer_raw,1190,130.01,151.31,48
hammer_raw,1191,128.9,153.87,58
hammer_raw,1192,131.06,167.01,111
hammer_raw,1193,130.85,167.63,127
hammer_raw,1194,131.18,168.19,145
hammer_raw,1195,129.96,174.37,169
hammer_raw,1196,130.4,174.91,172
hammer_raw,1197,130.51,175.65,178
hammer_raw,1198,131.7,175.46,149
feather_step,1184.5,,129.62,4
feather_step,1190.0,,151.64,3
feather_step,1193.0,,163.53,3
feather_step,1196.0,,178.78,3
feather_step,1199.5,,195.05,4
hammer_step,1188.5,,148.84,6
hammer_step,1193.0,,167.61,3
hammer_step,1196.5,,175.1,4
